rcv	0	S	0	0	0
snd	1691	SA	0	0	1
rcv	1693	A	1	0	1
rcv	1714	D	1	50	1
snd	1722	A	1	0	51
rcv	1724	D	51	50	1
snd	1726	A	1	0	101
rcv	1727	D	101	50	1
snd	1730	A	1	0	151
rcv	1731	D	151	50	1
snd	1738	A	1	0	201
rcv	1738	D	201	50	1
snd	1740	A	1	0	251
rcv	1747	D	301	50	1
snd	1748	A	1	0	251
rcv	1753	D	351	50	1
snd	1754	A	1	0	251
rcv	1756	D	401	50	1
snd	1756	A	1	0	251
rcv	1757	D	251	50	1
snd	1774	A	1	0	451
rcv	1775	D	451	50	1
snd	1777	A	1	0	501
rcv	1778	D	501	50	1
snd	1781	A	1	0	551
rcv	1846	F	551	0	1
snd	1847	FA	1	0	552
rcv	1849	A	552	0	2
