rcv	6871.584	S	0	0	0
snd	6877.909	SA	0	0	1
rcv	6882.405	A	1	0	1
rcv	6887.156	D	1	50	1
snd	6897.196	A	1	0	51
rcv	6901.456	D	51	50	1
snd	6910.755	A	1	0	101
rcv	6914.978	D	151	50	1
snd	6919.376	A	1	0	101
rcv	6923.853	D	201	50	1
snd	6928.912	A	1	0	101
rcv	6934.404	D	251	50	1
snd	6939.209	A	1	0	101
rcv	6943.610	D	301	50	1
snd	6947.917	A	1	0	101
rcv	6952.240	D	351	50	1
snd	6956.972	A	1	0	101
rcv	6961.709	D	401	50	1
snd	6966.100	A	1	0	101
rcv	6970.297	D	451	50	1
snd	6974.502	A	1	0	101
rcv	6979.361	D	501	50	1
snd	6983.645	A	1	0	101
rcv	6987.674	D	551	50	1
snd	6991.716	A	1	0	101
rcv	7358.447	D	101	50	1
snd	7390.006	A	1	0	551
rcv	7396.075	D	651	50	1
snd	7403.027	A	1	0	551
rcv	7408.142	D	701	50	1
snd	7413.538	A	1	0	551
rcv	7418.688	D	751	50	1
snd	7423.778	A	1	0	551
rcv	7429.306	D	801	50	1
snd	7434.042	A	1	0	551
rcv	7438.955	D	851	50	1
snd	7443.932	A	1	0	551
rcv	7448.624	D	901	50	1
snd	7453.225	A	1	0	551
rcv	7458.222	D	951	50	1
snd	7463.977	A	1	0	551
rcv	7468.727	D	1001	50	1
snd	7473.541	A	1	0	551
rcv	7478.873	D	1051	50	1
snd	7482.928	A	1	0	551
rcv	7839.276	D	551	50	1
snd	7850.036	A	1	0	601
rcv	8256.674	D	601	50	1
snd	8268.768	A	1	0	651
rcv	8273.885	D	1151	50	1
snd	8282.739	A	1	0	651
rcv	8674.437	D	651	50	1
snd	8697.880	A	1	0	701
rcv	8704.504	D	1201	50	1
snd	8711.269	A	1	0	701
rcv	9105.206	D	701	50	1
snd	9112.129	A	1	0	751
rcv	9117.731	D	1251	50	1
snd	9123.409	A	1	0	751
rcv	9518.938	D	751	50	1
snd	9524.376	A	1	0	801
rcv	9939.856	D	801	50	1
snd	9964.190	A	1	0	851
rcv	9970.934	D	1351	50	1
snd	9975.398	A	1	0	851
rcv	10371.668	D	851	50	1
snd	10383.741	A	1	0	901
rcv	10388.770	D	1401	50	1
snd	10395.820	A	1	0	901
rcv	10789.014	D	901	50	1
snd	10804.288	A	1	0	951
rcv	10809.573	D	1451	50	1
snd	10819.183	A	1	0	951
rcv	11210.908	D	951	50	1
snd	11220.365	A	1	0	1001
rcv	11224.742	D	1501	50	1
snd	11229.981	A	1	0	1001
rcv	11625.286	D	1001	50	1
snd	11642.288	A	1	0	1051
rcv	11658.258	D	1551	50	1
snd	11667.459	A	1	0	1051
rcv	12052.558	D	1051	50	1
snd	12062.676	A	1	0	1101
rcv	12067.462	D	1601	50	1
snd	12072.323	A	1	0	1101
rcv	12468.677	D	1101	50	1
snd	12475.373	A	1	0	1151
rcv	12482.942	D	1651	50	1
snd	12488.290	A	1	0	1151
rcv	12881.283	D	1151	50	1
snd	12893.255	A	1	0	1201
rcv	12904.100	D	1701	50	1
snd	12913.800	A	1	0	1201
rcv	13301.924	D	1201	50	1
snd	13307.649	A	1	0	1251
rcv	13315.595	D	1751	50	1
snd	13320.561	A	1	0	1251
rcv	13716.503	D	1251	50	1
snd	13730.906	A	1	0	1301
rcv	13736.326	D	1801	50	1
snd	13740.827	A	1	0	1301
rcv	14137.395	D	1301	50	1
snd	14143.058	A	1	0	1351
rcv	14153.862	D	1851	50	1
snd	14158.740	A	1	0	1351
rcv	14976.300	D	1351	50	1
snd	14983.293	A	1	0	1401
rcv	14987.886	D	1901	50	1
snd	14992.279	A	1	0	1401
rcv	15389.262	D	1401	50	1
snd	15396.887	A	1	0	1451
rcv	15403.772	D	1951	50	1
snd	15409.288	A	1	0	1451
rcv	16209.175	D	1451	50	1
snd	16220.597	A	1	0	1501
rcv	16224.975	D	2001	50	1
snd	16229.982	A	1	0	1501
rcv	16625.504	D	1501	50	1
snd	16632.867	A	1	0	1551
rcv	16637.562	D	2051	50	1
snd	16642.120	A	1	0	1551
rcv	17037.767	D	1551	50	1
snd	17064.461	A	1	0	1601
rcv	17072.065	D	2101	50	1
snd	17080.229	A	1	0	1601
rcv	17472.279	D	1601	50	1
snd	17480.799	A	1	0	1651
rcv	17485.454	D	2151	50	1
snd	17489.632	A	1	0	1651
rcv	17886.460	D	1651	50	1
snd	17892.947	A	1	0	1701
rcv	17902.562	D	2201	50	1
snd	17908.017	A	1	0	1701
rcv	18303.088	D	1701	50	1
snd	18308.993	A	1	0	1751
rcv	18313.935	D	2251	50	1
snd	18318.827	A	1	0	1751
rcv	18714.728	D	1751	50	1
snd	18721.812	A	1	0	1801
rcv	19129.266	D	1801	50	1
snd	19138.731	A	1	0	1851
rcv	19144.012	D	2351	50	1
snd	19149.506	A	1	0	1851
rcv	19544.852	D	1851	50	1
snd	19556.592	A	1	0	1901
rcv	19562.695	D	2401	50	1
snd	19567.830	A	1	0	1901
rcv	19968.549	D	1901	50	1
snd	19991.265	A	1	0	1951
rcv	20001.911	D	2451	50	1
snd	20009.175	A	1	0	1951
rcv	21220.838	D	1951	50	1
snd	21232.615	A	1	0	2001
rcv	21238.442	D	2501	50	1
snd	21243.738	A	1	0	2001
rcv	22046.305	D	2001	50	1
snd	22052.582	A	1	0	2051
rcv	22057.342	D	2551	50	1
snd	22062.424	A	1	0	2051
rcv	22458.210	D	2051	50	1
snd	22467.764	A	1	0	2101
rcv	22473.997	D	2601	50	1
snd	22481.323	A	1	0	2101
rcv	22874.166	D	2101	50	1
snd	22888.617	A	1	0	2151
rcv	22893.372	D	2651	50	1
snd	22900.863	A	1	0	2151
rcv	23295.653	D	2151	50	1
snd	23301.517	A	1	0	2201
rcv	23305.868	D	2701	50	1
snd	23310.220	A	1	0	2201
rcv	23706.849	D	2201	50	1
snd	23715.564	A	1	0	2251
rcv	23722.140	D	2751	50	1
snd	23727.255	A	1	0	2251
rcv	24122.308	D	2251	50	1
snd	24129.289	A	1	0	2301
rcv	24134.915	D	2801	50	1
snd	24139.520	A	1	0	2301
rcv	24535.383	D	2301	50	1
snd	24547.122	A	1	0	2351
rcv	24552.921	D	2851	50	1
snd	24557.689	A	1	0	2351
rcv	24953.752	D	2351	50	1
snd	24959.682	A	1	0	2401
rcv	24965.363	D	2901	50	1
snd	24970.534	A	1	0	2401
rcv	25366.631	D	2401	50	1
snd	25375.949	A	1	0	2451
rcv	25385.550	D	2951	50	1
snd	25390.817	A	1	0	2451
rcv	25782.586	D	2451	50	1
snd	25792.725	A	1	0	2501
rcv	26200.991	D	2501	50	1
snd	26206.657	A	1	0	2551
rcv	26217.163	D	3051	50	1
snd	26222.865	A	1	0	2551
rcv	26618.331	D	2551	50	1
snd	26626.392	A	1	0	2601
rcv	26631.426	D	3101	50	1
snd	26636.966	A	1	0	2601
rcv	27032.795	D	2601	50	1
snd	27044.341	A	1	0	2651
rcv	27056.780	D	3151	50	1
snd	27062.453	A	1	0	2651
rcv	27454.992	D	2651	50	1
snd	27464.490	A	1	0	2701
rcv	27470.305	D	3201	50	1
snd	27475.050	A	1	0	2701
rcv	27871.013	D	2701	50	1
snd	27882.882	A	1	0	2751
rcv	27888.263	D	3251	50	1
snd	27893.448	A	1	0	2751
rcv	28288.352	D	2751	50	1
snd	28294.328	A	1	0	2801
rcv	28302.217	D	3301	50	1
snd	28307.227	A	1	0	2801
rcv	28702.765	D	2801	50	1
snd	28713.217	A	1	0	2851
rcv	28718.036	D	3351	50	1
snd	28722.462	A	1	0	2851
rcv	29119.578	D	2851	50	1
snd	29135.703	A	1	0	2901
rcv	29151.255	D	3401	50	1
snd	29160.883	A	1	0	2901
rcv	29551.039	D	2901	50	1
snd	29565.209	A	1	0	2951
rcv	29576.602	D	3451	50	1
snd	29583.300	A	1	0	2951
rcv	29977.640	D	2951	50	1
snd	29996.795	A	1	0	3001
rcv	30015.084	D	3501	50	1
snd	30029.341	A	1	0	3001
rcv	30415.352	D	3001	50	1
snd	30421.466	A	1	0	3051
rcv	30426.198	D	3551	50	1
snd	30431.402	A	1	0	3051
