rcv	2371.066	S	0	0	0
snd	2376.441	SA	0	0	1
rcv	2380.774	A	1	0	1
rcv	2385.931	D	1	50	1
snd	2392.336	A	1	0	51
rcv	2396.154	D	51	50	1
snd	2405.386	A	1	0	101
rcv	2409.735	D	151	50	1
snd	2414.571	A	1	0	101
rcv	2419.288	D	201	50	1
snd	2424.134	A	1	0	101
rcv	2428.490	D	251	50	1
snd	2432.879	A	1	0	101
rcv	2437.115	D	301	50	1
snd	2441.326	A	1	0	101
rcv	2445.581	D	351	50	1
snd	2449.989	A	1	0	101
rcv	2454.213	D	401	50	1
snd	2458.402	A	1	0	101
rcv	2462.670	D	451	50	1
snd	2466.918	A	1	0	101
rcv	2471.039	D	501	50	1
snd	2475.147	A	1	0	101
rcv	2479.254	D	1	50	1
rcv	2483.205	D	51	50	1
rcv	2487.215	D	601	50	1
snd	2491.642	A	1	0	101
rcv	2495.983	D	101	50	1
snd	2510.179	A	1	0	551
rcv	2514.243	D	101	50	1
rcv	2518.312	D	651	50	1
snd	2522.617	A	1	0	551
rcv	2526.687	D	701	50	1
snd	2531.019	A	1	0	551
rcv	2535.227	D	751	50	1
snd	2539.751	A	1	0	551
rcv	2543.847	D	801	50	1
snd	2548.079	A	1	0	551
rcv	2552.112	D	851	50	1
snd	2556.550	A	1	0	551
rcv	2560.542	D	901	50	1
snd	2564.682	A	1	0	551
rcv	2568.681	D	951	50	1
snd	2573.052	A	1	0	551
rcv	2577.237	D	1051	50	1
snd	2581.361	A	1	0	551
rcv	2585.554	D	551	50	1
snd	2599.294	A	1	0	1001
rcv	2603.283	D	551	50	1
rcv	2607.514	D	1101	50	1
snd	2611.943	A	1	0	1001
rcv	2616.737	D	1151	50	1
snd	2621.104	A	1	0	1001
rcv	2625.411	D	1201	50	1
snd	2629.998	A	1	0	1001
rcv	2634.611	D	1251	50	1
snd	2639.041	A	1	0	1001
rcv	2643.367	D	1351	50	1
snd	2647.676	A	1	0	1001
rcv	2651.999	D	1401	50	1
snd	2656.363	A	1	0	1001
rcv	2660.438	D	1451	50	1
snd	2664.680	A	1	0	1001
rcv	2668.947	D	1501	50	1
snd	2673.200	A	1	0	1001
rcv	2677.682	D	1001	50	1
snd	2692.721	A	1	0	1301
rcv	2696.970	D	1001	50	1
rcv	2701.180	D	1551	50	1
snd	2705.359	A	1	0	1301
rcv	2709.876	D	1601	50	1
snd	2714.406	A	1	0	1301
rcv	2718.482	D	1651	50	1
snd	2722.662	A	1	0	1301
rcv	2726.988	D	1701	50	1
snd	2731.417	A	1	0	1301
rcv	2735.604	D	1751	50	1
snd	2739.864	A	1	0	1301
rcv	2744.006	D	1801	50	1
snd	2748.303	A	1	0	1301
rcv	2752.546	D	1301	50	1
snd	2776.133	A	1	0	1801
rcv	2780.402	D	1301	50	1
rcv	2784.605	D	1851	50	1
snd	2788.801	A	1	0	1801
rcv	2793.236	D	1901	50	1
snd	2797.547	A	1	0	1801
rcv	2801.747	D	1951	50	1
snd	2806.099	A	1	0	1801
rcv	2810.442	D	2001	50	1
snd	2814.878	A	1	0	1801
rcv	2819.353	D	2051	50	1
snd	2823.554	A	1	0	1801
rcv	2827.684	D	2101	50	1
snd	2832.353	A	1	0	1801
rcv	2836.699	D	2151	50	1
snd	2840.896	A	1	0	1801
rcv	2844.971	D	2201	50	1
snd	2849.158	A	1	0	1801
rcv	2853.307	D	2301	50	1
snd	2857.651	A	1	0	1801
rcv	2862.021	D	1801	50	1
snd	2868.454	A	1	0	1851
rcv	2874.437	D	1801	50	1
rcv	2883.826	D	2351	50	1
snd	2888.475	A	1	0	1851
rcv	2928.037	D	1851	50	1
snd	2936.969	A	1	0	1901
rcv	2941.409	D	2401	50	1
snd	2945.915	A	1	0	1901
rcv	2950.172	D	1901	50	1
snd	2958.697	A	1	0	1951
rcv	2962.968	D	2451	50	1
snd	2967.201	A	1	0	1951
rcv	2971.535	D	1951	50	1
snd	2979.849	A	1	0	2001
rcv	2984.356	D	2501	50	1
snd	2988.719	A	1	0	2001
rcv	2993.103	D	2001	50	1
snd	3001.497	A	1	0	2051
rcv	3006.005	D	2551	50	1
snd	3010.196	A	1	0	2051
rcv	3014.381	D	2051	50	1
snd	3022.929	A	1	0	2101
rcv	3027.268	D	2601	50	1
snd	3031.520	A	1	0	2101
rcv	3035.873	D	2101	50	1
snd	3044.203	A	1	0	2151
rcv	3048.479	D	2651	50	1
snd	3052.779	A	1	0	2151
rcv	3057.066	D	2151	50	1
snd	3065.314	A	1	0	2201
rcv	3073.985	D	2201	50	1
snd	3082.433	A	1	0	2251
rcv	3086.922	D	2751	50	1
snd	3091.188	A	1	0	2251
rcv	3095.517	D	2251	50	1
snd	3103.946	A	1	0	2301
rcv	3108.359	D	2801	50	1
snd	3112.921	A	1	0	2301
rcv	3117.330	D	2301	50	1
snd	3125.783	A	1	0	2351
rcv	3130.157	D	2851	50	1
snd	3134.419	A	1	0	2351
rcv	3230.677	D	2351	50	1
snd	3256.959	A	1	0	2401
rcv	3270.785	D	2901	50	1
snd	3278.093	A	1	0	2401
rcv	3325.410	D	2401	50	1
snd	3341.711	A	1	0	2451
rcv	3350.872	D	2951	50	1
snd	3359.414	A	1	0	2451
rcv	3364.285	D	2451	50	1
snd	3372.760	A	1	0	2501
rcv	3377.328	D	3001	50	1
snd	3381.961	A	1	0	2501
rcv	3386.418	D	2501	50	1
snd	3395.105	A	1	0	2551
rcv	3399.743	D	3051	50	1
snd	3404.366	A	1	0	2551
rcv	3409.265	D	2551	50	1
snd	3418.423	A	1	0	2601
rcv	3423.301	D	3101	50	1
snd	3428.107	A	1	0	2601
rcv	3432.482	D	2601	50	1
snd	3441.081	A	1	0	2651
rcv	3445.745	D	3151	50	1
snd	3450.202	A	1	0	2651
rcv	3454.800	D	2651	50	1
snd	3463.478	A	1	0	2701
rcv	3468.199	D	3201	50	1
snd	3472.546	A	1	0	2701
rcv	3476.850	D	2701	50	1
snd	3485.431	A	1	0	2751
rcv	3490.000	D	3251	50	1
snd	3494.311	A	1	0	2751
rcv	3498.729	D	2751	50	1
snd	3507.506	A	1	0	2801
rcv	3511.954	D	3301	50	1
snd	3516.447	A	1	0	2801
rcv	3520.843	D	2801	50	1
snd	3529.398	A	1	0	2851
rcv	3534.862	D	3351	50	1
snd	3539.412	A	1	0	2851
rcv	3544.019	D	2851	50	1
snd	3552.403	A	1	0	2901
rcv	3561.002	D	2901	50	1
snd	3569.435	A	1	0	2951
rcv	3573.753	D	3451	50	1
snd	3578.744	A	1	0	2951
rcv	3584.808	D	2951	50	1
snd	3593.350	A	1	0	3001
rcv	3597.783	D	3501	50	1
snd	3602.350	A	1	0	3001
rcv	3607.192	D	3001	50	1
snd	3615.334	A	1	0	3051
rcv	3619.683	D	3551	50	1
snd	3624.329	A	1	0	3051
rcv	3628.795	D	3051	50	1
snd	3637.007	A	1	0	3101
rcv	3641.672	D	3601	50	1
snd	3646.031	A	1	0	3101
rcv	3650.374	D	3101	50	1
snd	3658.896	A	1	0	3151
rcv	3663.275	D	3651	50	1
snd	3667.784	A	1	0	3151
rcv	3672.655	D	3151	50	1
snd	3680.826	A	1	0	3201
rcv	3685.315	D	3701	50	1
snd	3689.797	A	1	0	3201
rcv	3694.071	D	3201	50	1
snd	3703.833	A	1	0	3251
rcv	3708.683	D	3751	50	1
snd	3713.704	A	1	0	3251
rcv	3718.387	D	3251	50	1
snd	3727.262	A	1	0	3301
rcv	3732.246	D	3801	50	1
snd	3737.193	A	1	0	3301
rcv	3742.087	D	3301	50	1
snd	3751.192	A	1	0	3351
rcv	3756.207	D	3851	50	1
snd	3760.776	A	1	0	3351
rcv	3765.278	D	3351	50	1
snd	3773.983	A	1	0	3401
rcv	3778.640	D	3901	50	1
snd	3783.165	A	1	0	3401
rcv	3787.883	D	3401	50	1
snd	3796.823	A	1	0	3451
rcv	3801.466	D	3951	50	1
snd	3806.148	A	1	0	3451
rcv	3810.964	D	3451	50	1
snd	3816.424	A	1	0	3501
rcv	3821.070	D	4001	50	1
snd	3825.760	A	1	0	3501
rcv	3830.430	D	3501	50	1
snd	3839.147	A	1	0	3551
rcv	3843.649	D	4051	50	1
snd	3848.189	A	1	0	3551
rcv	3894.157	D	3551	50	1
snd	3904.775	A	1	0	3601
rcv	3909.862	D	4101	50	1
snd	3914.481	A	1	0	3601
rcv	3918.858	D	3601	50	1
snd	3927.737	A	1	0	3651
rcv	3936.539	D	3651	50	1
snd	3944.735	A	1	0	3701
rcv	3949.623	D	4201	50	1
snd	3954.119	A	1	0	3701
rcv	3958.497	D	3701	50	1
snd	3966.775	A	1	0	3751
rcv	3971.362	D	4251	50	1
snd	3975.782	A	1	0	3751
rcv	3980.160	D	3751	50	1
snd	3988.440	A	1	0	3801
rcv	3992.966	D	4301	50	1
snd	3997.358	A	1	0	3801
rcv	4001.889	D	3801	50	1
snd	4010.567	A	1	0	3851
rcv	4015.061	D	4351	50	1
snd	4019.409	A	1	0	3851
rcv	4023.709	D	3851	50	1
snd	4034.652	A	1	0	3901
rcv	4040.870	D	4401	50	1
snd	4045.800	A	1	0	3901
rcv	4054.852	D	3901	50	1
snd	4064.860	A	1	0	3951
rcv	4111.831	D	4451	50	1
snd	4124.490	A	1	0	3951
rcv	4129.887	D	3951	50	1
snd	4145.244	A	1	0	4001
rcv	4161.341	D	4501	50	1
snd	4171.163	A	1	0	4001
rcv	4200.899	D	4001	50	1
snd	4212.763	A	1	0	4051
rcv	4217.996	D	4551	50	1
snd	4222.990	A	1	0	4051
rcv	4268.169	D	4051	50	1
snd	4285.968	A	1	0	4101
rcv	4299.575	D	4601	50	1
snd	4309.527	A	1	0	4101
rcv	4314.646	D	4101	50	1
snd	4324.897	A	1	0	4151
rcv	4329.959	D	4651	50	1
snd	4334.834	A	1	0	4151
rcv	4380.644	D	4151	50	1
snd	4386.518	A	1	0	4201
rcv	4392.833	D	4701	50	1
snd	4398.241	A	1	0	4201
rcv	4404.482	D	4201	50	1
snd	4416.664	A	1	0	4251
rcv	4422.987	D	4751	50	1
snd	4428.568	A	1	0	4251
rcv	4434.063	D	4251	50	1
snd	4445.261	A	1	0	4301
rcv	4450.047	D	4801	50	1
snd	4455.150	A	1	0	4301
rcv	4459.446	D	4301	50	1
snd	4467.640	A	1	0	4351
rcv	4472.383	D	4851	50	1
snd	4476.784	A	1	0	4351
rcv	4481.115	D	4351	50	1
snd	4490.342	A	1	0	4401
rcv	4544.765	D	4401	50	1
snd	4553.281	A	1	0	4451
rcv	4559.430	D	4951	50	1
snd	4563.984	A	1	0	4451
rcv	4568.498	D	4451	50	1
snd	4578.751	A	1	0	4501
rcv	4583.877	D	5001	50	1
snd	4588.368	A	1	0	4501
rcv	4592.889	D	4501	50	1
snd	4601.963	A	1	0	4551
rcv	4606.843	D	5051	50	1
snd	4611.355	A	1	0	4551
rcv	4615.940	D	4551	50	1
snd	4625.421	A	1	0	4601
rcv	4630.285	D	5101	50	1
snd	4634.756	A	1	0	4601
rcv	4639.984	D	4601	50	1
snd	4649.940	A	1	0	4651
rcv	4656.895	D	5151	50	1
snd	4662.189	A	1	0	4651
rcv	4708.734	D	4651	50	1
snd	4717.831	A	1	0	4701
rcv	4723.095	D	5201	50	1
snd	4727.858	A	1	0	4701
rcv	4732.529	D	4701	50	1
snd	4742.863	A	1	0	4751
rcv	4747.948	D	5251	50	1
snd	4753.143	A	1	0	4751
rcv	4758.941	D	4751	50	1
snd	4769.122	A	1	0	4801
rcv	4779.558	D	4801	50	1
snd	4788.599	A	1	0	4851
rcv	4793.057	D	5351	50	1
snd	4797.449	A	1	0	4851
rcv	4802.074	D	4851	50	1
snd	4810.947	A	1	0	4901
rcv	4815.618	D	5401	50	1
snd	4820.169	A	1	0	4901
rcv	4824.747	D	4901	50	1
